epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37709,2.20729,2.69332,3.29048,0.00333,1,0.81614,0.42062,1.09929,3.0211,1.06449,0.00012,0.00012,0.00012
2,5.95481,1.49478,2.45833,2.16583,0.00333,1,0.995,0.86107,0.53025,2.8674,0.9825,0.000257426,0.000257426,0.000257426
3,8.73874,0.71989,1.91548,1.41543,0.00333,1,0.995,0.84059,0.53,2.86501,0.78804,0.00039208,0.00039208,0.00039208
4,11.2313,0.54772,1.54777,1.20427,0.00333,1,0.995,0.90664,0.41278,2.82032,0.73346,0.000523962,0.000523962,0.000523962
5,13.8349,0.49918,1.25024,1.15345,0.00333,1,0.91064,0.6846,0.80084,2.96362,1.07599,0.000653072,0.000653072,0.000653072
6,16.358,0.5633,1.05014,1.27209,0.99718,1,0.995,0.39658,2.89828,4.90687,1.72109,0.00077941,0.00077941,0.00077941
7,18.9686,0.49988,0.94585,1.19894,0.99745,1,0.995,0.28473,1.40916,3.18815,1.99292,0.000902976,0.000902976,0.000902976
8,21.5152,0.47884,0.81594,1.13554,0.99545,1,0.995,0.995,0.38185,2.13322,0.66958,0.00102377,0.00102377,0.00102377
9,24.2648,0.4481,0.78548,1.14488,0.99832,1,0.995,0.70904,0.74546,2.01912,0.74017,0.00114179,0.00114179,0.00114179
10,26.7653,0.45276,0.73056,1.11734,0.7502,1,0.82876,0.51083,0.7535,2.37889,1.4575,0.00125704,0.00125704,0.00125704
11,29.249,0.48583,0.68888,1.11561,0.75114,1,0.91064,0.86061,0.53643,1.8477,0.96449,0.00136952,0.00136952,0.00136952
12,31.7944,0.49941,0.76204,1.22546,0.75173,1,0.995,0.96204,0.49878,1.98474,0.80818,0.00147923,0.00147923,0.00147923
13,34.2599,0.57211,0.70508,1.21372,0.99919,1,0.995,0.81304,0.81692,2.25703,1.32479,0.00158616,0.00158616,0.00158616
14,36.7949,0.53344,0.74684,1.20859,0.99912,1,0.995,0.8955,0.75922,1.52618,1.20273,0.00169032,0.00169032,0.00169032
15,39.3409,0.4346,0.63415,1.08775,0.99732,1,0.995,0.52321,0.58759,2.26514,0.78739,0.0017228,0.0017228,0.0017228
16,42.0605,0.41878,0.58404,1.08337,0.99941,1,0.995,0.35713,2.43482,2.22905,2.2303,0.001703,0.001703,0.001703
17,44.5988,0.42516,0.56421,1.07699,0.99929,1,0.995,0.6024,1.37953,1.87544,1.75521,0.0016832,0.0016832,0.0016832
18,47.1346,0.36272,0.55464,1.057,0.99947,1,0.995,0.92804,0.64893,1.00839,1.14727,0.0016634,0.0016634,0.0016634
19,49.6666,0.33951,0.51256,1.02345,0.9947,1,0.995,0.995,0.48016,1.23115,0.61669,0.0016436,0.0016436,0.0016436
20,52.2166,0.39088,0.59254,1.07976,0.99942,1,0.995,0.96204,0.57356,0.72341,0.85752,0.0016238,0.0016238,0.0016238
21,54.7176,0.33743,0.49569,1.01069,0.99933,1,0.995,0.995,0.55493,0.9206,0.84474,0.001604,0.001604,0.001604
22,57.2485,0.34253,0.50114,1.02347,0.99942,1,0.995,0.94009,0.4567,0.94293,0.56547,0.0015842,0.0015842,0.0015842
23,59.9289,0.33309,0.48334,1.04363,0.99936,1,0.995,0.92804,0.60388,1.10355,0.66244,0.0015644,0.0015644,0.0015644
24,62.418,0.31414,0.4645,1.02428,0.9994,1,0.995,0.8955,0.41226,0.60868,0.52256,0.0015446,0.0015446,0.0015446
25,64.8745,0.30098,0.43616,0.99,0.99935,1,0.995,0.8955,0.49695,0.64211,0.67277,0.0015248,0.0015248,0.0015248
26,67.4098,0.28726,0.4203,1.01294,0.99947,1,0.995,0.995,0.49868,0.75256,0.66728,0.001505,0.001505,0.001505
27,69.9228,0.28671,0.40743,1.01089,0.99948,1,0.995,0.995,0.30051,0.54625,0.39081,0.0014852,0.0014852,0.0014852
28,72.4251,0.29028,0.41521,1.01036,0.99949,1,0.995,0.995,0.26921,0.52731,0.3564,0.0014654,0.0014654,0.0014654
29,75.0414,0.27683,0.39669,1.00578,0.99948,1,0.995,0.995,0.26595,0.58593,0.36387,0.0014456,0.0014456,0.0014456
30,77.5038,0.32485,0.40792,1.02667,0.99948,1,0.995,0.94009,0.28159,0.46238,0.44222,0.0014258,0.0014258,0.0014258
31,79.9696,0.30624,0.38851,1.04118,0.9993,1,0.995,0.995,0.37025,0.48447,0.54612,0.001406,0.001406,0.001406
32,82.4548,0.32781,0.38075,1.06017,0.99887,1,0.995,0.96205,0.45581,0.5826,0.65766,0.0013862,0.0013862,0.0013862
33,84.8896,0.28841,0.38886,1.00276,0.99933,1,0.995,0.995,0.54205,0.59903,0.78863,0.0013664,0.0013664,0.0013664
34,87.3853,0.27225,0.37182,0.9982,0.99947,1,0.995,0.90629,0.54904,0.57596,0.8858,0.0013466,0.0013466,0.0013466
35,89.8658,0.28224,0.35703,0.99606,0.99947,1,0.995,0.995,0.3375,0.41273,0.49602,0.0013268,0.0013268,0.0013268
36,92.5381,0.29633,0.37661,1.00812,0.99945,1,0.995,0.94976,0.41357,0.50719,0.54925,0.001307,0.001307,0.001307
37,94.9722,0.26655,0.36169,1.00126,0.99947,1,0.995,0.995,0.39601,0.57025,0.54885,0.0012872,0.0012872,0.0012872
38,97.5303,0.24697,0.33463,0.97434,0.99948,1,0.995,0.8955,0.42677,0.44657,0.56853,0.0012674,0.0012674,0.0012674
39,100.075,0.22862,0.32531,0.97892,0.99948,1,0.995,0.995,0.38297,0.4022,0.54877,0.0012476,0.0012476,0.0012476
40,102.655,0.23011,0.32212,0.98724,0.99948,1,0.995,0.995,0.29864,0.41937,0.47081,0.0012278,0.0012278,0.0012278
41,105.125,0.20342,0.29139,0.96535,0.99948,1,0.995,0.995,0.26564,0.41342,0.4004,0.001208,0.001208,0.001208
42,107.55,0.24411,0.32417,0.99004,0.99948,1,0.995,0.995,0.38418,0.54957,0.45374,0.0011882,0.0011882,0.0011882
43,110.171,0.24157,0.29444,0.98998,0.99905,1,0.995,0.94013,0.37408,0.42553,0.54535,0.0011684,0.0011684,0.0011684
44,112.699,0.26539,0.32252,0.9903,0.99949,1,0.995,0.96207,0.36073,0.38308,0.46098,0.0011486,0.0011486,0.0011486
45,115.225,0.24078,0.30071,0.98877,0.99949,1,0.995,0.995,0.31734,0.39343,0.44679,0.0011288,0.0011288,0.0011288
46,117.714,0.23915,0.28711,0.96572,0.99948,1,0.995,0.92807,0.35192,0.37494,0.4951,0.001109,0.001109,0.001109
47,120.333,0.22119,0.28312,0.96925,0.99947,1,0.995,0.995,0.33839,0.42104,0.48877,0.0010892,0.0010892,0.0010892
48,122.908,0.20722,0.27221,0.94545,0.99947,1,0.995,0.995,0.38717,0.49648,0.56036,0.0010694,0.0010694,0.0010694
49,125.783,0.21604,0.27269,0.94007,0.99948,1,0.995,0.995,0.39466,0.52649,0.5527,0.0010496,0.0010496,0.0010496
50,128.414,0.20719,0.25342,0.97445,0.99948,1,0.995,0.9063,0.40811,0.46562,0.57856,0.0010298,0.0010298,0.0010298
51,130.965,0.19742,0.24976,0.94692,0.99946,1,0.995,0.94013,0.44946,0.49708,0.65464,0.00101,0.00101,0.00101
52,133.468,0.19791,0.25964,0.92527,0.99948,1,0.995,0.95118,0.45357,0.46121,0.68989,0.0009902,0.0009902,0.0009902
53,135.942,0.23543,0.30702,0.96536,0.99948,1,0.995,0.918,0.41902,0.48041,0.64777,0.0009704,0.0009704,0.0009704
54,138.433,0.20442,0.26102,0.96738,0.99947,1,0.995,0.995,0.34585,0.43662,0.53885,0.0009506,0.0009506,0.0009506
55,140.89,0.23147,0.27131,0.97592,0.99947,1,0.995,0.995,0.35501,0.47247,0.52324,0.0009308,0.0009308,0.0009308
