epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.15292,0.61548,4.08831,1.06126,0.01667,0.13636,0.03697,0.03697,0.48959,3.53226,1.05064,2.352e-05,2.352e-05,2.352e-05
2,3.4965,0.57681,4.03629,0.99049,0.04938,0.42424,0.1581,0.15344,0.30315,3.48854,0.94431,5.23961e-05,5.23961e-05,5.23961e-05
3,4.92075,0.46492,3.93832,0.94385,0.05963,0.72727,0.21913,0.21565,0.26383,3.48072,0.92109,8.06901e-05,8.06901e-05,8.06901e-05
4,6.27946,0.39792,3.7967,0.91407,0.03503,0.77273,0.19089,0.18378,0.26402,3.47211,0.9173,0.000108402,0.000108402,0.000108402
5,7.64208,0.44267,3.82005,0.92508,0.02463,0.86364,0.16569,0.16052,0.30455,3.46023,0.94398,0.000135532,0.000135532,0.000135532
6,9.05596,0.4268,3.69922,0.90762,0.01925,0.86364,0.22085,0.21283,0.34742,3.4392,0.98176,0.000162079,0.000162079,0.000162079
7,10.4337,0.4258,3.57386,0.90141,0.0163,0.84848,0.23534,0.22944,0.35686,3.38452,0.9898,0.000188045,0.000188045,0.000188045
8,11.8078,0.42174,3.49848,0.91276,0.01582,0.84848,0.29194,0.27957,0.42617,3.31612,1.01776,0.000213428,0.000213428,0.000213428
9,13.188,0.42797,3.32708,0.91154,0.01506,0.84848,0.38899,0.36275,0.45788,3.23962,1.05968,0.000238229,0.000238229,0.000238229
10,14.5444,0.45922,3.39185,0.91701,0.01471,0.84848,0.47176,0.43932,0.52328,3.19899,1.08604,0.000262449,0.000262449,0.000262449
11,15.9947,0.49134,3.22315,0.9398,0.01271,0.84848,0.48783,0.45577,0.53636,3.11245,1.07222,0.000286086,0.000286086,0.000286086
12,17.3567,0.463,3.15356,0.9342,0.01265,0.84848,0.42407,0.41076,0.4961,3.02351,1.06006,0.00030914,0.00030914,0.00030914
13,18.6806,0.43861,2.99855,0.90424,0.01146,0.86364,0.34447,0.33082,0.51252,2.9722,1.06204,0.000331613,0.000331613,0.000331613
14,20.0019,0.45301,2.97527,0.94706,0.00926,0.86364,0.36586,0.34218,0.5137,2.85027,1.09311,0.000353504,0.000353504,0.000353504
15,21.3211,0.43808,2.91785,0.92335,0.75718,0.08916,0.38261,0.36823,0.52098,2.65798,1.1054,0.000374812,0.000374812,0.000374812
16,22.6261,0.44216,2.78343,0.93143,0.67293,0.10932,0.3972,0.38262,0.51678,2.62619,1.10204,0.000395539,0.000395539,0.000395539
17,23.9778,0.43846,2.66896,0.92712,0.65229,0.30515,0.49152,0.47841,0.45624,2.63687,1.05179,0.000415683,0.000415683,0.000415683
18,25.3257,0.47506,2.80284,0.94519,0.55827,0.30303,0.44478,0.43543,0.50644,2.54953,1.07011,0.000435245,0.000435245,0.000435245
19,26.6333,0.46646,2.45638,0.9297,0.50137,0.2752,0.4445,0.42091,0.53704,2.54144,1.07688,0.000454225,0.000454225,0.000454225
20,28.0166,0.42966,2.46178,0.89501,0.83739,0.21212,0.47114,0.46453,0.50789,2.51258,1.09967,0.000472623,0.000472623,0.000472623
21,29.3855,0.42448,2.37992,0.89469,0.8794,0.20785,0.49463,0.47314,0.55738,2.47144,1.15532,0.000471576,0.000471576,0.000471576
22,30.7009,0.44592,2.42408,0.92706,0.76657,0.30303,0.59358,0.53267,0.58068,2.34822,1.15754,0.000465755,0.000465755,0.000465755
23,32.0505,0.48012,2.2708,0.94501,0.70151,0.38636,0.68493,0.62473,0.57082,2.1935,1.1382,0.000459934,0.000459934,0.000459934
